Nom,Niveau de stress,Accompagnement tuteur,Intérêt missions,Difficulté tâches,Respect délais,Temps conciliation,Anxiété charge travail,Soutien équipe,Compétences nécessaires,Clarté objectifs,Remarque,Semaine
Nathan Maldonado,6,Oui,1,Adaptées,Rarement,Non,Parfois,4,Non,Assez clairs,Form even now provide office heavy world opportunity late market source art.,4
Debra Davidson,8,Non,4,Trop faciles,Rarement,Non,Souvent,4,Non,Très clairs,Staff history girl real almost teach almost image good recognize like also school.,4
Jeffrey Chavez,2,Partiellement,4,Adaptées,Rarement,Oui,Jamais,2,Non,Très clairs,Boy long analysis force tonight million cover piece six.,4
Sherri Baker,3,Oui,2,Trop difficiles,Souvent,Non,Parfois,5,Oui,Assez clairs,Year few success around direction soldier strong water clear spring.,4
Cassandra Gaines,8,Non,3,Adaptées,Toujours,Oui,Souvent,3,Non,Peu clairs,Produce national role when story live player manager station including performance.,4
Elizabeth Fowler,5,Oui,1,Trop faciles,Rarement,Oui,Parfois,5,Non,Très clairs,Training science ability much crime wish family kind toward adult.,4
Brittany Farmer,5,Non,4,Trop faciles,Rarement,Non,Souvent,4,Oui,Très clairs,Ask politics computer charge wear common baby see memory.,4
Paula Moreno,3,Oui,4,Trop faciles,Rarement,Non,Jamais,3,Non,Très clairs,Name country benefit focus another special establish though tonight near.,4
Fred Smith,9,Partiellement,3,Adaptées,Toujours,Oui,Parfois,5,Oui,Très clairs,Good order often mouth east realize glass marriage.,4
Sherry Decker,4,Oui,2,Adaptées,Toujours,Non,Souvent,5,Non,Pas du tout clairs,Hundred need top adult name establish street grow bit develop news much new.,4
Anthony Humphrey,9,Oui,5,Trop faciles,Toujours,Non,Parfois,4,Non,Pas du tout clairs,Else film too field eye size head.,4
Angelica Tucker,10,Oui,2,Adaptées,Rarement,Oui,Parfois,4,Non,Assez clairs,Develop by design bar skin read dream.,4
Philip Cannon,9,Partiellement,5,Trop faciles,Toujours,Non,Souvent,1,Oui,Assez clairs,Star federal music police trade later bank add.,4
John Pierce,5,Oui,2,Adaptées,Rarement,Oui,Parfois,5,Non,Très clairs,Many here I trip bad real meeting outside nothing decade drop peace region phone name.,4
Shane Henderson,5,Oui,5,Adaptées,Toujours,Non,Souvent,5,Oui,Assez clairs,Meeting she that senior go talk down story forget security law suffer but entire cultural politics.,4
Joshua Blair,10,Partiellement,2,Trop faciles,Rarement,Non,Souvent,1,Oui,Très clairs,Control add strategy really pull common between move perform.,4
Eric Carney,1,Partiellement,5,Adaptées,Rarement,Oui,Souvent,4,Oui,Pas du tout clairs,Behavior however century Congress treat establish bank west trial.,4
Allison Hill,10,Non,4,Adaptées,Toujours,Non,Parfois,4,Oui,Très clairs,Research act at coach sea man voice chance address.,5
Noah Rhodes,4,Non,5,Adaptées,Souvent,Oui,Parfois,5,Oui,Peu clairs,Air focus want parent economy old region tell it challenge approach around case.,5
Angie Henderson,7,Partiellement,4,Adaptées,Toujours,Non,Souvent,5,Oui,Peu clairs,Fine rise wife figure concern certain key would system feel stay.,5
Daniel Wagner,5,Non,2,Adaptées,Souvent,Oui,Jamais,1,Oui,Peu clairs,Most less able protect do different quality smile.,5
Cristian Santos,8,Partiellement,5,Trop faciles,Toujours,Non,Souvent,3,Oui,Assez clairs,Against two newspaper put student mission about case life.,5
Connie Lawrence,9,Partiellement,5,Adaptées,Souvent,Non,Jamais,1,Non,Pas du tout clairs,Me detail act tree school over special sport first director challenge.,5
Abigail Shaffer,5,Oui,5,Adaptées,Toujours,Oui,Parfois,4,Non,Peu clairs,Best fish without morning simply thousand fast authority feeling suggest.,5
Gina Moore,10,Oui,2,Adaptées,Toujours,Non,Souvent,3,Non,Peu clairs,Local team see candidate rock Congress relationship compare poor.,5
Gabrielle Davis,2,Non,2,Trop difficiles,Rarement,Oui,Parfois,5,Non,Très clairs,Thing past partner would foot recognize despite painting camera.,5
Ryan Munoz,8,Partiellement,5,Trop difficiles,Souvent,Oui,Jamais,1,Non,Peu clairs,Difficult if mean never night reason decade.,5
Monica Herrera,7,Partiellement,4,Trop faciles,Toujours,Non,Souvent,1,Oui,Très clairs,Federal program any surface magazine option point end.,5
Jamie Arnold,4,Partiellement,4,Adaptées,Rarement,Non,Jamais,5,Oui,Peu clairs,Before watch society early event explain of.,5
Lisa Hensley,10,Non,3,Adaptées,Rarement,Non,Souvent,3,Non,Peu clairs,Condition like thus model live inside truth all teach decade economy factor perhaps and.,5
Michele Williams,9,Oui,4,Adaptées,Rarement,Oui,Parfois,5,Non,Très clairs,Anything road bank sell successful white goal indeed to support capital theory sense identify.,5
Dylan Miller,10,Non,4,Trop difficiles,Rarement,Oui,Souvent,1,Non,Assez clairs,Nation husband rich ahead hospital cost article attorney.,5
Brian Ramirez,10,Partiellement,5,Adaptées,Toujours,Oui,Jamais,5,Oui,Assez clairs,Professional question gas population oil sense total appear here surface think.,5
Holly Wood,2,Non,4,Adaptées,Toujours,Non,Souvent,2,Non,Pas du tout clairs,Whatever learn eat consumer travel now if staff region.,5
Derek Zuniga,2,Partiellement,3,Trop difficiles,Toujours,Non,Souvent,4,Non,Peu clairs,Same tend hundred method report late cost trouble its feeling east modern any way space.,5
Lisa Jackson,4,Non,5,Adaptées,Rarement,Non,Souvent,3,Non,Assez clairs,Four lose serious prepare run white face suggest finally somebody film election represent fish who.,5
Carla Gray,5,Non,5,Adaptées,Toujours,Non,Parfois,2,Non,Peu clairs,Onto throughout song response five find much.,5
Margaret Hawkins DDS,9,Non,5,Trop difficiles,Souvent,Non,Jamais,5,Non,Pas du tout clairs,Chair finish over like according local evening represent fast.,5
Patty Perez,7,Oui,4,Trop faciles,Souvent,Oui,Parfois,4,Non,Pas du tout clairs,Respond involve card whom give spring manage far focus specific word opportunity case five section while.,5
Ethan Adams,5,Oui,5,Adaptées,Rarement,Non,Jamais,1,Oui,Assez clairs,Require manager physical nice how western hear light sign wife year really.,5
Tommy Walter,2,Partiellement,5,Trop faciles,Rarement,Oui,Jamais,1,Non,Peu clairs,Level despite voice increase rise record almost huge up role agreement sort about next.,5
Matthew Foster,9,Oui,3,Trop faciles,Rarement,Oui,Parfois,4,Non,Assez clairs,About available rate join recognize try clear.,5
Judy Baker,6,Non,4,Trop difficiles,Toujours,Oui,Souvent,5,Oui,Très clairs,Yard common like ever according hit land minute.,5
Justin Baker,4,Non,3,Trop faciles,Souvent,Non,Jamais,3,Oui,Très clairs,And price it collection pay establish practice speak and do bed treat over several forward.,5
Stephanie Ross,6,Partiellement,5,Trop faciles,Souvent,Non,Parfois,5,Non,Assez clairs,Remain someone without first evening son my.,5
Zachary Hicks,10,Non,4,Trop faciles,Toujours,Non,Jamais,4,Non,Assez clairs,Production support product parent law animal research analysis make least pass television situation ten you.,5
Anthony Rodriguez,2,Partiellement,4,Adaptées,Rarement,Oui,Jamais,5,Non,Pas du tout clairs,Production do meeting which similar decade also north become.,5
Rebecca Henderson,10,Non,2,Adaptées,Rarement,Oui,Jamais,2,Non,Peu clairs,Indeed laugh but second wrong including weight ability young second.,5
James Ferrell,5,Oui,4,Adaptées,Toujours,Non,Parfois,3,Non,Très clairs,Of feel sense what at understand every rule receive health.,5
Tricia Valencia,6,Partiellement,4,Trop difficiles,Toujours,Oui,Souvent,1,Non,Peu clairs,Identify lose billion away floor open center.,5
Nathan Maldonado,4,Non,5,Trop difficiles,Souvent,Oui,Souvent,3,Non,Assez clairs,People indicate feel entire situation hard eat support.,5
Debra Davidson,5,Oui,5,Trop faciles,Souvent,Non,Parfois,5,Non,Assez clairs,Should situation kind contain politics stuff security yard plan home reflect general if true course board.,5
Jeffrey Chavez,5,Partiellement,5,Trop faciles,Rarement,Non,Souvent,3,Oui,Très clairs,Factor business suffer customer maybe sea forget network thousand you.,5
Sherri Baker,2,Partiellement,5,Trop faciles,Rarement,Oui,Jamais,3,Non,Très clairs,Science throw ability plan executive result assume remain on others party minute trip grow.,5
Cassandra Gaines,5,Partiellement,5,Adaptées,Toujours,Non,Jamais,4,Oui,Pas du tout clairs,Direction three big break east project step watch.,5
Elizabeth Fowler,9,Partiellement,2,Trop difficiles,Souvent,Non,Souvent,1,Non,Peu clairs,Six or fill should name everything office say street owner involve point ready grow.,5
Brittany Farmer,2,Partiellement,3,Trop difficiles,Toujours,Oui,Parfois,3,Oui,Très clairs,Difficult evidence treatment cause itself contain think pay before citizen magazine week outside.,5
Paula Moreno,3,Non,2,Adaptées,Souvent,Oui,Jamais,4,Non,Pas du tout clairs,Expect heavy kid explain each actually science past.,5
Fred Smith,9,Non,5,Trop faciles,Rarement,Oui,Souvent,3,Oui,Assez clairs,Cause behind single project air hold good red hotel contain knowledge soldier detail thought as.,5
Sherry Decker,10,Non,5,Trop faciles,Rarement,Oui,Jamais,1,Non,Pas du tout clairs,Unit recognize especially ask two major she knowledge.,5
Anthony Humphrey,10,Non,5,Adaptées,Toujours,Oui,Parfois,3,Oui,Peu clairs,Officer serious same experience point article article drop give his meeting away degree form mission.,5
Angelica Tucker,5,Partiellement,2,Trop faciles,Rarement,Non,Souvent,1,Oui,Assez clairs,Than above themselves dark charge middle daughter too left look his or specific develop first point.,5
Philip Cannon,3,Oui,5,Trop faciles,Souvent,Oui,Jamais,1,Non,Pas du tout clairs,Charge view style war worry here Republican cultural learn customer reason camera.,5
John Pierce,5,Partiellement,3,Trop faciles,Toujours,Non,Jamais,5,Non,Peu clairs,Professional beat project help admit beat agency she evidence station many boy west.,5
Shane Henderson,5,Non,3,Trop difficiles,Rarement,Oui,Parfois,3,Non,Très clairs,Newspaper would section cause instead do your safe.,5
Joshua Blair,10,Partiellement,3,Trop difficiles,Rarement,Non,Souvent,4,Oui,Peu clairs,Argue prepare similar above owner energy organization.,5
Eric Carney,8,Partiellement,4,Trop difficiles,Souvent,Non,Jamais,3,Non,Assez clairs,Production industry until method program their media skill no task product unit pressure war picture.,5
Allison Hill,8,Non,1,Trop faciles,Souvent,Oui,Parfois,1,Non,Pas du tout clairs,Could something right beyond central prevent office ever than husband continue leave.,6
Noah Rhodes,8,Partiellement,1,Adaptées,Toujours,Non,Jamais,3,Oui,Pas du tout clairs,Whatever final general very price practice arm hard staff husband hand teacher certain compare reveal.,6
Angie Henderson,5,Oui,4,Trop difficiles,Toujours,Oui,Parfois,4,Oui,Très clairs,Score minute night never alone defense vote point they color first hundred.,6
Daniel Wagner,3,Partiellement,4,Trop faciles,Souvent,Oui,Parfois,3,Oui,Assez clairs,Learn more ball body sit send performance sometimes fight employee.,6
Cristian Santos,3,Partiellement,1,Trop difficiles,Souvent,Oui,Souvent,5,Oui,Pas du tout clairs,Husband dinner successful she office Congress weight single religious way.,6
Connie Lawrence,3,Partiellement,2,Adaptées,Souvent,Non,Souvent,3,Non,Peu clairs,Possible thought apply most way recently box debate statement matter international management country raise commercial home.,6
Abigail Shaffer,5,Partiellement,3,Adaptées,Toujours,Non,Parfois,2,Non,Peu clairs,Picture trip allow world particularly term reflect leave player.,6
Gina Moore,6,Oui,4,Trop faciles,Rarement,Oui,Jamais,3,Non,Peu clairs,Today level floor store care stuff wrong range.,6
Gabrielle Davis,2,Oui,2,Trop faciles,Souvent,Oui,Parfois,5,Non,Peu clairs,Style like foreign else buy near cut also.,6
Ryan Munoz,7,Partiellement,3,Adaptées,Toujours,Non,Jamais,2,Non,Assez clairs,Woman radio drive food relationship make season sense.,6
Monica Herrera,8,Partiellement,1,Trop difficiles,Toujours,Oui,Souvent,1,Oui,Pas du tout clairs,Enter many significant hear evening expert dream expect maybe free onto summer land least.,6
Jamie Arnold,2,Partiellement,1,Trop faciles,Rarement,Oui,Jamais,2,Non,Peu clairs,Skin everybody interview find fill large type member shake impact main a result run.,6
Lisa Hensley,1,Partiellement,4,Adaptées,Rarement,Non,Jamais,1,Non,Très clairs,Baby purpose across green hear environment war industry five spring glass week.,6
Michele Williams,1,Partiellement,2,Trop difficiles,Souvent,Oui,Souvent,4,Oui,Très clairs,Floor image style it see figure write field situation score contain opportunity.,6
Dylan Miller,1,Partiellement,1,Trop faciles,Toujours,Non,Parfois,3,Non,Très clairs,Trial way human south analysis need community very consider.,6
Brian Ramirez,5,Non,3,Trop difficiles,Toujours,Oui,Parfois,1,Oui,Très clairs,Open third whatever impact Democrat argue north rock call role.,6
Holly Wood,6,Non,3,Trop difficiles,Souvent,Oui,Souvent,1,Oui,Très clairs,Thought particularly key out down reveal trial anyone western go mean.,6
Derek Zuniga,7,Non,2,Trop difficiles,Toujours,Oui,Jamais,2,Non,Peu clairs,Hair amount wonder these we wide reveal sure power prevent news team purpose law.,6
Lisa Jackson,1,Oui,2,Trop difficiles,Rarement,Oui,Jamais,3,Oui,Assez clairs,Pass enjoy production stand process reason low common wall life matter.,6
Carla Gray,9,Oui,3,Trop faciles,Souvent,Oui,Souvent,2,Non,Peu clairs,Fine quite huge region body something official sister professor side type interest I economic your.,6
Margaret Hawkins DDS,6,Partiellement,1,Trop difficiles,Rarement,Oui,Souvent,3,Oui,Très clairs,Record Congress rather first expert baby minute something reach program share recent.,6
Patty Perez,6,Oui,1,Adaptées,Rarement,Non,Parfois,1,Non,Pas du tout clairs,Participant after six economic something almost north report main administration.,6
Ethan Adams,7,Oui,2,Trop difficiles,Souvent,Non,Jamais,5,Non,Très clairs,Law manage manage tax recognize court generation matter traditional throw field can travel recognize above behavior.,6
Tommy Walter,9,Non,1,Trop difficiles,Toujours,Oui,Parfois,2,Non,Assez clairs,Raise decide medical environmental writer agent data action medical what herself teach score.,6
Matthew Foster,6,Non,2,Trop faciles,Toujours,Oui,Parfois,4,Non,Peu clairs,Which place share minute act coach glass financial.,6
Judy Baker,1,Oui,1,Trop faciles,Souvent,Non,Souvent,5,Non,Très clairs,Than especially indeed themselves floor science sister green.,6
Justin Baker,1,Oui,2,Trop difficiles,Toujours,Non,Parfois,1,Non,Pas du tout clairs,Old citizen candidate over military nation really concern president weight.,6
Stephanie Ross,6,Oui,4,Trop faciles,Rarement,Oui,Souvent,4,Oui,Assez clairs,Whether foreign occur small these plant miss call particular development without particularly world evening.,6
Zachary Hicks,4,Non,2,Adaptées,Toujours,Oui,Jamais,4,Non,Pas du tout clairs,Easy something memory throughout east various discussion future pick study.,6
Anthony Rodriguez,4,Non,1,Adaptées,Souvent,Oui,Souvent,4,Oui,Pas du tout clairs,Price through respond down capital them a job available among child fire none history speak.,6
Rebecca Henderson,1,Oui,2,Trop faciles,Souvent,Non,Souvent,4,Non,Pas du tout clairs,Than front man big interesting great animal protect.,6
James Ferrell,5,Non,4,Trop faciles,Souvent,Non,Souvent,2,Non,Peu clairs,Choice sing place argue coach economic can to expert head sea later.,6
Tricia Valencia,2,Non,2,Adaptées,Rarement,Non,Souvent,2,Non,Pas du tout clairs,By firm way what put central field main nice protect deep as and energy exactly cup.,6
Nathan Maldonado,4,Non,2,Trop faciles,Rarement,Oui,Souvent,5,Oui,Très clairs,Far skill close difficult also use again exactly fact minute less feel.,6
Debra Davidson,7,Partiellement,1,Adaptées,Souvent,Oui,Parfois,4,Oui,Peu clairs,State suffer heavy form product structure check look speech network professional end back understand drop.,6
Jeffrey Chavez,3,Non,1,Trop difficiles,Souvent,Non,Jamais,4,Non,Pas du tout clairs,Cultural usually available enough energy by put want letter.,6
Sherri Baker,8,Partiellement,3,Trop difficiles,Toujours,Non,Souvent,5,Oui,Très clairs,Remain agency no look subject fish girl push site argue policy home threat sister most upon.,6
Cassandra Gaines,3,Partiellement,2,Trop faciles,Rarement,Oui,Souvent,4,Non,Pas du tout clairs,Always line respond modern bar PM director interview.,6
Elizabeth Fowler,1,Oui,1,Adaptées,Toujours,Oui,Parfois,3,Non,Pas du tout clairs,Small former agree forget pretty majority federal oil include really middle.,6
Brittany Farmer,9,Partiellement,4,Trop faciles,Souvent,Oui,Parfois,1,Non,Pas du tout clairs,Kitchen knowledge outside work because quite size writer something difference remember serve life.,6
Paula Moreno,1,Oui,1,Adaptées,Souvent,Non,Parfois,2,Non,Peu clairs,Down onto past woman sure wall president father everybody leg too process thank finally.,6
Fred Smith,7,Oui,3,Trop difficiles,Rarement,Non,Parfois,1,Non,Très clairs,Speak expect late energy ready could why early lot avoid interest partner.,6
Sherry Decker,1,Oui,2,Trop difficiles,Toujours,Oui,Souvent,2,Oui,Assez clairs,Way interest upon admit water contain artist know we.,6
Anthony Humphrey,5,Partiellement,3,Adaptées,Toujours,Non,Souvent,2,Oui,Pas du tout clairs,Else region hand often case thing make actually nothing stand state.,6
Angelica Tucker,6,Oui,4,Trop faciles,Souvent,Non,Parfois,1,Oui,Assez clairs,Happen always level billion we likely expect expect.,6
Philip Cannon,4,Partiellement,1,Trop difficiles,Toujours,Oui,Parfois,3,Oui,Pas du tout clairs,Score sign rather language move sea too short above morning gas short space.,6
John Pierce,1,Non,3,Trop difficiles,Rarement,Non,Souvent,4,Non,Très clairs,Participant music land hit far on very when loss natural edge.,6
Shane Henderson,5,Non,3,Trop difficiles,Toujours,Non,Souvent,5,Oui,Assez clairs,Whether computer those practice seek man Mr player class fear the goal could.,6
Joshua Blair,5,Oui,1,Adaptées,Toujours,Oui,Parfois,2,Non,Pas du tout clairs,Large difficult environmental wide what account consider Mr statement entire plan spend senior without.,6
Eric Carney,9,Oui,4,Adaptées,Souvent,Oui,Parfois,5,Oui,Assez clairs,Through dream past vote old or success where instead all include player organization.,6
Allison Hill,8,Non,2,Trop faciles,Souvent,Non,Souvent,1,Non,Très clairs,Hour finish them particular report begin strategy hear.,7
Noah Rhodes,8,Oui,2,Adaptées,Rarement,Non,Parfois,4,Non,Pas du tout clairs,Maybe yes always face teacher night clear moment own new.,7
Angie Henderson,8,Oui,1,Trop difficiles,Toujours,Oui,Parfois,1,Non,Assez clairs,Age generation parent I others study however rather early resource would easy real arrive.,7
Daniel Wagner,9,Non,2,Adaptées,Rarement,Non,Souvent,5,Oui,Très clairs,Hundred business group few mention book simply education bag keep name religious represent reflect.,7
Cristian Santos,5,Partiellement,3,Trop difficiles,Toujours,Non,Souvent,2,Non,Très clairs,Of image try guess myself attorney in really employee through similar affect every month edge evening.,7
Connie Lawrence,4,Non,1,Adaptées,Souvent,Non,Jamais,4,Oui,Assez clairs,Require similar skin thought throughout dark degree college movement line grow if.,7
Abigail Shaffer,4,Partiellement,5,Trop difficiles,Souvent,Non,Jamais,5,Oui,Assez clairs,Must guess rest data yeah stock position guess as.,7
Gina Moore,4,Oui,5,Adaptées,Rarement,Non,Souvent,5,Oui,Peu clairs,Generation well he kitchen drop partner resource almost year send star.,7
Gabrielle Davis,5,Non,5,Adaptées,Rarement,Oui,Jamais,4,Oui,Peu clairs,Big model represent phone sell reach box we number history admit with physical.,7
Ryan Munoz,3,Partiellement,2,Trop faciles,Toujours,Non,Jamais,4,Non,Assez clairs,Gun single present cup like message describe approach scene before product save war.,7
Monica Herrera,10,Partiellement,3,Trop difficiles,Souvent,Non,Parfois,1,Oui,Pas du tout clairs,Candidate want air forward join truth because course my thus science kind.,7
Jamie Arnold,9,Partiellement,3,Trop difficiles,Souvent,Non,Parfois,3,Oui,Très clairs,Middle firm a television cold full take cover million black.,7
Lisa Hensley,8,Partiellement,3,Trop faciles,Rarement,Non,Jamais,4,Oui,Pas du tout clairs,Toward smile scientist result power true yes option store.,7
Michele Williams,5,Non,3,Adaptées,Rarement,Oui,Souvent,4,Non,Très clairs,Alone still realize lead future it newspaper range point trip give president main center.,7
Dylan Miller,1,Oui,4,Trop faciles,Toujours,Oui,Parfois,4,Oui,Pas du tout clairs,Current because rest middle he including forget whether perhaps explain change change.,7
Brian Ramirez,4,Partiellement,2,Trop difficiles,Souvent,Oui,Parfois,1,Non,Peu clairs,Cost while city would kid list here her analysis campaign national manager fly recent may.,7
Holly Wood,2,Non,2,Trop faciles,Souvent,Non,Souvent,2,Non,Très clairs,Check parent design join truth middle make eye test weight decision brother cold director own enough.,7
Derek Zuniga,2,Oui,2,Adaptées,Toujours,Oui,Souvent,2,Non,Très clairs,Listen remain film report visit smile education wear.,7
Lisa Jackson,1,Partiellement,3,Trop faciles,Souvent,Oui,Parfois,1,Oui,Pas du tout clairs,Number become wonder loss morning two high party occur left discuss later within once hour and.,7
Carla Gray,2,Partiellement,1,Trop faciles,Souvent,Non,Parfois,2,Non,Assez clairs,Education simple drop manager over accept right quickly security.,7
Margaret Hawkins DDS,3,Oui,5,Trop difficiles,Toujours,Oui,Parfois,3,Oui,Assez clairs,Language pretty especially water month decision game watch treat protect shoulder rather.,7
Patty Perez,7,Partiellement,4,Trop faciles,Toujours,Oui,Jamais,1,Non,Peu clairs,For person stock way yes thousand nearly probably too you onto agency yet will almost.,7
Ethan Adams,7,Non,2,Trop faciles,Souvent,Oui,Jamais,5,Non,Très clairs,Job ever capital great what mean continue gun position.,7
Tommy Walter,5,Oui,5,Trop difficiles,Rarement,Oui,Souvent,4,Non,Très clairs,Issue enjoy safe again feeling site treat worry make quickly however culture artist executive.,7
Matthew Foster,4,Non,4,Trop faciles,Toujours,Non,Souvent,5,Oui,Très clairs,Item matter amount travel program threat myself player million want yes artist mother deep father.,7
Judy Baker,6,Non,2,Adaptées,Rarement,Non,Parfois,5,Oui,Pas du tout clairs,Control appear life discover religious similar apply hit Republican.,7
Justin Baker,2,Oui,5,Trop faciles,Toujours,Non,Jamais,1,Oui,Pas du tout clairs,Debate nature ability American word song past back statement.,7
Stephanie Ross,9,Non,5,Adaptées,Souvent,Non,Jamais,5,Oui,Peu clairs,Near among often five whatever significant will bar mission support law read dark.,7
Zachary Hicks,2,Non,1,Trop difficiles,Toujours,Oui,Souvent,3,Non,Très clairs,Television turn physical not likely last subject much herself board.,7
Anthony Rodriguez,5,Partiellement,4,Trop difficiles,Toujours,Oui,Jamais,1,Non,Très clairs,Left statement surface size be provide less recently media thing beyond none interview prevent same.,7
Rebecca Henderson,8,Partiellement,5,Trop faciles,Souvent,Oui,Jamais,1,Oui,Très clairs,Describe fly hotel car something rich local discussion forget former interest commercial career push simply.,7
James Ferrell,3,Non,3,Trop difficiles,Rarement,Non,Jamais,3,Oui,Peu clairs,Cover everything once boy whatever blood modern audience nation policy indeed throw performance box where several.,7
Tricia Valencia,2,Oui,3,Adaptées,Souvent,Oui,Parfois,5,Oui,Pas du tout clairs,Among parent job professor beat rule traditional especially court purpose itself growth sound cell future.,7
Nathan Maldonado,8,Partiellement,3,Trop faciles,Souvent,Oui,Parfois,2,Non,Très clairs,Design grow stock move color who face myself value.,7
Debra Davidson,10,Partiellement,1,Trop faciles,Rarement,Oui,Jamais,1,Oui,Très clairs,Office traditional possible wife phone since least prepare might long worker truth ever practice discussion.,7
Jeffrey Chavez,8,Non,4,Trop faciles,Toujours,Oui,Souvent,4,Oui,Peu clairs,Cell end information reduce successful skin letter whether always.,7
Sherri Baker,4,Non,3,Adaptées,Toujours,Non,Jamais,5,Oui,Assez clairs,Mouth political place contain ask nothing off technology take decide campaign again could find.,7
Cassandra Gaines,4,Partiellement,1,Adaptées,Toujours,Non,Parfois,3,Non,Très clairs,Product result almost too still over short on large purpose.,7
Elizabeth Fowler,9,Non,1,Adaptées,Toujours,Non,Souvent,3,Oui,Pas du tout clairs,Woman maybe letter add drug for since.,7
Brittany Farmer,6,Partiellement,4,Trop faciles,Rarement,Oui,Jamais,1,Non,Très clairs,Policy agree activity bill say power data.,7
Paula Moreno,4,Partiellement,3,Trop difficiles,Rarement,Oui,Parfois,1,Non,Peu clairs,Any across nothing them under hope national.,7
Fred Smith,2,Oui,5,Trop faciles,Souvent,Non,Jamais,2,Non,Très clairs,Community rise rise manage them race tell song.,7
Sherry Decker,1,Oui,5,Adaptées,Rarement,Non,Parfois,1,Oui,Assez clairs,Live born ago consider night nice assume law air special write appear.,7
Anthony Humphrey,7,Oui,5,Trop difficiles,Toujours,Non,Souvent,2,Oui,Peu clairs,Hospital perform quality campaign concern investment fund music by short.,7
Angelica Tucker,5,Non,4,Trop difficiles,Rarement,Non,Parfois,4,Non,Assez clairs,Like decade garden many cell hope low continue authority.,7
Philip Cannon,2,Oui,2,Trop difficiles,Toujours,Oui,Jamais,2,Non,Pas du tout clairs,Set right film ever major gun doctor as board safe me.,7
John Pierce,6,Non,1,Trop difficiles,Souvent,Oui,Parfois,3,Non,Peu clairs,Increase parent organization movie situation discussion moment.,7
Shane Henderson,2,Oui,2,Trop difficiles,Souvent,Oui,Jamais,3,Oui,Très clairs,Exist it team student magazine operation course loss risk paper worry bed there capital write.,7
Joshua Blair,4,Non,4,Trop difficiles,Toujours,Non,Parfois,2,Oui,Pas du tout clairs,Either huge join kitchen live different fly newspaper blood life best training.,7
Eric Carney,8,Partiellement,5,Trop faciles,Toujours,Non,Jamais,2,Oui,Très clairs,Huge matter five left another physical total turn two floor lot argue trouble.,7
Allison Hill,2,Oui,3,Trop faciles,Souvent,Non,Souvent,1,Non,Très clairs,Event expect very fill arm peace line.,8
Noah Rhodes,2,Oui,3,Trop difficiles,Souvent,Oui,Jamais,3,Oui,Très clairs,Indicate black government visit fear rock hit national woman thank how maybe nature.,8
Angie Henderson,9,Oui,3,Trop difficiles,Souvent,Non,Parfois,1,Non,Pas du tout clairs,Player human offer ready account accept black ok young security week heavy garden where.,8
Daniel Wagner,4,Non,3,Trop faciles,Souvent,Non,Parfois,2,Oui,Assez clairs,Color American of base rate use full.,8
Cristian Santos,6,Non,5,Trop difficiles,Souvent,Oui,Jamais,3,Non,Assez clairs,Language produce agent play myself bag east work.,8
Connie Lawrence,8,Oui,5,Trop faciles,Rarement,Oui,Parfois,3,Non,Pas du tout clairs,Network need product if smile choose eat wind.,8
Abigail Shaffer,7,Partiellement,5,Adaptées,Souvent,Non,Jamais,1,Non,Assez clairs,Lose notice true today any when spend newspaper employee science young.,8
Gina Moore,2,Non,2,Adaptées,Rarement,Non,Souvent,2,Oui,Très clairs,Clearly use positive experience everything especially either add little success college.,8
Gabrielle Davis,5,Partiellement,3,Adaptées,Rarement,Oui,Jamais,5,Non,Peu clairs,Statement reveal individual radio guy similar learn.,8
Ryan Munoz,4,Oui,3,Trop difficiles,Souvent,Non,Souvent,1,Non,Assez clairs,Top you throw country despite medical expert Republican party loss source south.,8
Monica Herrera,10,Oui,5,Trop difficiles,Souvent,Oui,Parfois,1,Oui,Très clairs,Key response floor yourself second father spring local church usually toward information experience.,8
Jamie Arnold,5,Partiellement,3,Trop faciles,Rarement,Non,Jamais,3,Oui,Assez clairs,Sea traditional recently arm reality program left.,8
Lisa Hensley,7,Partiellement,3,Adaptées,Toujours,Oui,Jamais,5,Oui,Très clairs,Number still physical wrong science be interesting difference girl manager anything remember home themselves.,8
Michele Williams,10,Non,2,Adaptées,Rarement,Non,Souvent,1,Non,Peu clairs,Program including catch attack friend truth whose themselves report behind us maybe bad machine.,8
Dylan Miller,7,Oui,3,Trop difficiles,Souvent,Non,Souvent,3,Oui,Peu clairs,Prevent remain nor sport threat whatever none no enjoy single couple system.,8
Brian Ramirez,5,Partiellement,5,Trop faciles,Souvent,Non,Souvent,3,Oui,Assez clairs,Open major almost end stand cut during hotel rise accept.,8
Holly Wood,2,Partiellement,5,Adaptées,Rarement,Oui,Jamais,5,Non,Assez clairs,Over teacher add family product executive stay finish large person star already.,8
Derek Zuniga,10,Oui,5,Trop faciles,Souvent,Oui,Jamais,3,Non,Assez clairs,Her major lot organization poor entire others.,8
Lisa Jackson,3,Partiellement,4,Adaptées,Toujours,Non,Jamais,2,Oui,Peu clairs,I movement account policy sound which yet school traditional.,8
Carla Gray,6,Oui,2,Trop faciles,Souvent,Non,Souvent,4,Oui,Pas du tout clairs,Crime single soldier arrive individual sure imagine movie.,8
Margaret Hawkins DDS,9,Non,4,Trop difficiles,Souvent,Oui,Parfois,5,Oui,Assez clairs,Him word increase analysis process art term.,8
